asin,main_category,category,description,brand,imageURLHighRes
B00005N7NQ,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences Economics Economic Theory,REASON is edited for people interested in economic social and international issues Viewpoint stresses individual liberty private responsibility and limited government Some emphasis on Pacific Rim local state issues with national impact science technology Regular departments include news trends book reviews (mostly history politics and economics) and cultural commentary ,Reason Magazine,https://images-na.ssl-images-amazon.com/images/I/51Iph04Jy3L.jpg
B00005N7OC,Arts Music Photography, Arts Music Photography Music,Written by and for musicians Covers a variety of musical styles and includes transcriptions from recordings and solo pieces for guitar ,String Letter Publishers,https://images-na.ssl-images-amazon.com/images/I/51sYMiQrGYL.jpg
B00005N7OD,Fashion Style, Fashion Style Women,Allure is the beauty expert Every issue is full of celebrity tips and insider secrets from the pros like what works overnight and what works for a lifetime Editors pick their favorite new products and reveal what new styles really work for you Your subscription includes the annual special issues Makeovers and Best of Beauty ,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/51C%2Bkp1ZsmL.jpg
B00005N7O9,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Flying,FLIGHT JOURNAL includes articles on aviation history and contemporary practice military commercial and civil aircraft notable personalities of aviation technical aspects of aircraft visits to air shows and museums reports on restorations aviation photography three view aircraft drawings aviation art and coverage of the virtual flight experiences available through computer flight simulations ,AirAge Publishing,https://images-na.ssl-images-amazon.com/images/I/51WKV21TBHL.jpg
B00005N7O6,Professional Educational Journals, Professional Educational Journals Professional Trade Transportation,RIDER is published for the road and street riding motorcycle enthusiast the rider who enjoys touring sport riding with an accent on performance week ending and who also may use his machine for commuting The magazine includes motorcycle equipment accessory and apparel evaluations cycle related travel and adventure stories humor and personality pieces performance data practical technical information and riding techniques with an emphasis on safety ,EPG Media Specialty Information,https://images-na.ssl-images-amazon.com/images/I/61xe7XAgMoL.jpg
B00005N7P0,Technology, Technology Computers Internet,MAXIMUM PC is the ultimate upgrade for the savvy PC owners Every month the magazine is packed with breaking news tons of tips amp techniques and the most in depth reviews anywhere ,Future US Inc.,https://images-na.ssl-images-amazon.com/images/I/51q4dzMwpFL.jpg
B00005N7QG,Cooking Food Wine, Cooking Food Wine Recipes Techniques,Good Housekeeping magazine together with the Good Housekeeping Institute and the Good Housekeeping Seal is an American icon of consumer protection and quality assurance Every issue delivers a unique mix of independent investigation and trusted reporting along with inspirational and personal stories The magazines rich tradition embodies a commitment to the modern home and to a womans quality of life ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61xEhL6Dy7L.jpg
B00005N7PI,Professional Educational Journals, Professional Educational Journals Professional Trade Medicine,Get expert unbiased reporting on how to live healthier longer Discover what works ? and what doesn?t ? from prescription drugs and alternative therapies to disease prevention and nutrition All from a name you can trust with no outside advertising ,Consumer Reports,https://images-na.ssl-images-amazon.com/images/I/51puXLo7doL.jpg
B00005N7OP,Arts Music Photography, Arts Music Photography Art Art History,This magazine reports on the personalities trends and events that shape the international art world Its articles focus on art ranging from old masters to contemporary art in all genres Regular features include reviews of books and exhibits travel destinations investment and appreciation advice and insights into the art world ,ARTnews LLC,https://images-na.ssl-images-amazon.com/images/I/51n3uewhIwL.jpg
B00005N7Q5,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,Americas Number One sportsmans magazine featuring in depth articles on hunting fishing outdoor adventure and conservation news First class fiction and more Field Stream editorial excellence for over 100 years ,Bonnier Corpiration,https://images-na.ssl-images-amazon.com/images/I/61WXVTe2YdL.jpg
B00005N7PN,Home Garden, Home Garden Design Decoration,Country Living is your guide to creating the ultimate in country style Each issue offers inspirational ideas on Decorating Remodeling Antiques Collecting Gardening Landscaping Entertaining Travel ,Hearst Magazines,https://images-na.ssl-images-amazon.com/images/I/61tKHYmxtIL.jpg
B00005N7QD,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Golf,Golf Digest is the #1 golf publication Each issue is packed with instructional tips and techniques exclusive instruction from the games hottest pros like Phil Mickelson and Tiger Woods reviews of the top equipment personalized instruction section and Pocket Tips to take with you wherever you go!,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/61048A6Nv1L.jpg
B00005N7O3,Sports Recreation Outdoors, Sports Recreation Outdoors Sports Leisure Hunting Firearms,The Archery Equipment Authority Dedicated To Providing The Most Reliable And Up To Date Information Available On The Latest Equipment For Archery amp Bowhunting Enthusiasts ,Grand View Media Group,https://images-na.ssl-images-amazon.com/images/I/61Twf3lA1HL.jpg
B00005N7PG,Travel City Regional, Travel City Regional,Cond Nast Traveler requires its writers to travel anonymously and pay their own way This assures that you get credible truthful information With Cond Nast Traveler as your guide youll discover the best islands cities spas castles and cruises Your subscription also includes our must have Gold List Hot List and Readers Choice issues filled with the worlds best places to eat drink shop and stay ,Conde Nast Publications,https://images-na.ssl-images-amazon.com/images/I/51a8wLFxl5L.jpg
B00005N7QY,Pets Animals, Pets Animals,Mischievous fascinating quiet and cuddly cats are our companions Keep up with the latest information on healthcare feeding breeding adoption and products for these furry friends Share stories and photos and find great gift ideas for you a fellow cat lover or your cat or cats ,Grass Roots Publishing Co. Inc.,https://images-na.ssl-images-amazon.com/images/I/61okbL128-L.jpg
B00005N7PH,Business Investing, Business Investing,Consumer Reports brings you the best products the best brands the best services and the best prices! Consumer Reports compares features sorts through the choices analyzes the options and reports back to you You benefit from the clear advice useful recommendations wise insights and easy to understand information When you put Consumer Reports to work for you you get more than 100 car experts engineers chemists statisticians nutritionists money advisors and safety gurus you can count on! Consumer Reports tells you the truth in plain English straight from the experts at the worlds largest consumer product testing center Live healthier wealthier and wiser with the facts you find only in Consumer Reportsbr br The Kindle Edition of this magazine includes Page View In Page View your magazines look just like the printed edition with all the photos and formatting br br Interactive content such as videos and slide shows are only available on Kindle Fire 2nd Generation Kindle Fire HD Kindle Fire HDX ,Consumer Reports,https://images-na.ssl-images-amazon.com/images/I/51nWDnONliL.jpg
B00005N7QO,News Political Commentary, News Political Commentary Ideas Commentary,This magazine is edited to cover current social political cultural scientific and economic issues It also includes reporting essays fiction and memoirs by distinguished writers and promising new voices It regularly features a statistical index short cuts from various international texts and close analysis of current pieces of media ,Harpers Magazine,https://images-na.ssl-images-amazon.com/images/I/51MdxQ-6TbL.jpg
B00005N7R7,Travel City Regional, Travel City Regional United States West,Los Angeles magazines lets you meet the people explore the places and preview the events that make Southern California such an exciting and exuberant place to live ,Emmis Publishing,https://images-na.ssl-images-amazon.com/images/I/51C49iVmldL.jpg
B00005N7OA,Automotive Motorcycles, Automotive Motorcycles Automotive,Radio Control Car Action is dedicated to the radio control car modeling enthusiast Feature articles and columns present technical and general information on building electric gas R C cars modifications modeling equipment major competition events modeling personalities and products How To articles and in depth product evaluations are featured in every issue along with beginner articles ,AirAge Publishing,https://images-na.ssl-images-amazon.com/images/I/61g9w9VHOqL.jpg
B00005N7R0,Travel City Regional, Travel City Regional,This magazine focuses on the islands of the world from the major travel destinations It explores island lifestyles culture and history through its regular departments Features specifically cover such island related topics as the arts food sports nature and books ,Bonnier Corporation,https://images-na.ssl-images-amazon.com/images/I/61uFMN2dk-L.jpg
B00005N7P8,Religion Spirituality, Religion Spirituality Christianity,No matter what your calling in life Catholic faith and family living is both uniquely challenging and uniquely joyful Catholic Digest gives you the tools you need to feed your faith life nurture your relationships care for your family and bring the light of Christ to others ,Bayard Inc,https://images-na.ssl-images-amazon.com/images/I/51TKGzp0QbL.jpg
B00005N7OF,Professional Educational Journals, Professional Educational Journals Professional Trade Humanities Social Sciences History,American History Presents the history of America to a spectrum of general interest readers in an authoritative informative thought provoking and entertaining style Lively narratives take readers on an adventure with history complemented by rare photographs paintings illustrations and maps ,History Net,https://images-na.ssl-images-amazon.com/images/I/51ULl7x3lAL.jpg
